event,location,zipcode,count
THE ARIZONA GROUND GAME (TAGG),Tucson AZ,85701,2
TUCSON AMBASSADORS FOR CONSTITUTIONAL RIGHTS,Tucson AZ,85701,2
INDIVISIBLE ADA,Ada OK,,1
ALBUQUERQUE COORDINATORS,Albuquerque NM,,1
TX-34 INDIVISIBLE (SOUTH TEXAS): RESISTING THE TRUMP AGENDA IN SOUTH TEXAS,Alice TX,,1
INDIVISIBLE ALTUS,Altus OK,,1
INDIVISIBLE ANN ARBOR,Ann Arbor MI,,1
INDIVISIBLE ANTLERS,Antlers OK,,1
INDIVISIBLE ARDMORE,Ardmore OK,,1
INDIVISIBLE TOHONO,AZ,,1
INDIVISIBLE BARTLESVILLE,Bartlesville OK,,1
INDIVISIBLEBEAVERTON,Beaverton OR,,1
RESISTANCE GROUP,Bellingham WA,,1
INDIVISIBLE POLK COUNTY,Benton TN,,1
INDIVISIBLE - BEREA AND GREATER CLEAR CREEK COMMUNITY,Berea KY,,1
STAND UP MINNESOTA - SHERBURNE AREA PROGRESS MAKERS,Big Lake MN,,1
ELDER STREET COLLECTIVE,Boulder CO,,1
INDIVISIBLEBGKY,Bowling Green KY,,1
BURNSVILLE LAKEVILLE UNITED,Burnsville MN,,1
INDIVISIBLE EUSTIS,Cambridge MA,,1
THE SPRINGCOURT WATCHDOGS,Cherry Hill NJ,,1
INDIVISIBLE CHICKASHA,Chickasha OK,,1
INDIVISIBLE CROSSVILLE,Crossville TN,,1
PROGRESSIVE RURAL NEBRASKANS,David City NE,,1
"INDIVISIBLE LIBERTY AND CHAMBERS COUNTIES, TEXAS",Dayton TX,,1
INDIVISIBLE DAYTONA,Daytona Beach FL,,1
LANCASTER COUNTY DEMOCRATIC PARTY,Denton NE,,1
INDIVISIBLE DUNCAN,Duncan OK,,1
INDIVISIBLE DURANT,Durant OK,,1
INDIVISIBLE EDMOND,Edmond OK,,1
INDIVISIBLE EL RENO,El Reno OK,,1
INDIVISIBLE ENID,Enid OK,,1
INDIVISIBLE EUFAULA,Eufalula OK,,1
INDIVISIBLE FLETCHER,Fletcher OK,,1
GLENDALE INDIVISIBLE AGAINST INJUSTICE,Glendale AZ,,1
CAPE ANN DEMOCRATS,Gloucester MA,,1
INDIVISIBLE80121,Greenwood Village CO,,1
GRANDLAKE INDIVISIBLE,Grove OK,,1
INDIVISIBLE GUYMON,Guymon OK,,1
UNITED NEBRASKA,Hastings NE,,1
INDIVISIBLE HELENA,Helena MT,,1
SNAP (SOUTHEAST NEBRASKA AMERICANS FOR PROGRESS),Hickman NE,,1
PEACE AND JUSTICE COMMITTEE OF ST. CATHERINE OF SIENA PARISH,Ithaca NY,,1
RALLY FOR COMMON GROUND - KOHALA,Kapaau HI,,1
MARSHALL COUNTY DEMOCRATS OF OKLAHOMA,Kingston OK,,1
NORTHUMBERLAND INDIVISIBLE,Kinsale VA,,1
MOUNTAIN PEARLS,Lake City CO,,1
CITIZEN'S IMMIGRATION & REFUGEE ACTION COMMITTEE,Lancaster PA,,1
POLK BURNETT INDIVISIBLE,Luck WI,,1
INDIVISIBLE MCALESTER OK,MaAlester OK,,1
INDIVISIBLE EAST TENNESSEE,Maryville TN,,1
INDIVISIBLE MCAESTER,Mcalester OK,,1
LADY OF LIBERTY FORUM,Mcloud OK,,1
WOMEN IN ACTION - JUNIATA COUNTY,Mifflin PA,,1
REFUEL THE RESISTANCE,Milwaukee WI,,1
INDIVISIBLE TN-4 SOUTH CUMBERLAND PLATEAU,Monteagle TN,,1
INDIVISIBLE MUSKOGEE,muskogeeok OK,,1
INDIVISIBLE NOLA,New Orleans Louisiana,,1
ELEANOR ROOSEVELT DEMOCRATIC CLUB,New York NY,,1
INDIVISIBLE PEND OREILLE COUNTY,Newport WA,,1
SUIT UP NEBRASKA,North Platte NE,,1
INDIVISIBLE NORTH TULSA,North Tulsa OK,,1
INDIVISIBLE OWASSO OKLAHOMA,Owasso OK,,1
INDIVISIBLE PAULS VALLEY,Pauls Valley OK,,1
BLUE MOUNTAIN OR MARCHERS,Pendleton OR,,1
IUNITY MEETINGS!,Phoenix AZ,,1
MULTNOMAH VILLAGE PEOPLE (MVP),Portland OR,,1
HAWKINS COUNTY INDIVISIBLE,Rogersville Tennessee,,1
INDIVISIBLE HARDIN COUNTY,Savannah TN,,1
INDIVISIBLE SEQUOYAH COUNTY,Sequoyah OK,,1
INDIVISIBLE SHAWNEE,Shawnee OK,,1
SHELBYVILLE INDIVISIBLE,Shelbyville TN,,1
MARCHING FORWARD,South Dartmouth MA,,1
INDIVISIBLE STILLWATER,Stillwater OK,,1
"NEED A GROUP CONTACT NEAR HIGHLAND PARK, ILL--60035",Sturgeon Bay WI,,1
INDIVISIBLE CHEROKEE COUNTY,Tahlequah OK,,1
INDIVISIBLE BACKBONE,Vashon WA,,1
INDIVISABLE HAYS,Wakeeney KS,,1
INDIVISIBLE WEATHERFORD,Weatherford OK,,1
WINDHAM AREA PROGRESSIVE ACTION,Willimantic CT,,1
INDIVISIBLE WOODWARD,Woodward OK,,1
INDIVISIBLE YUKON,Yukon OK,,1
