City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Mercer,N Erie St Side of Courthouse Sq,PA,25,35,25 to 35,"Indivisible Mercer County, PA",protest,https://www.facebook.com/events/356730505042592/ ,41.2270025,-80.2397852,41.2309565,-80.2199352,Link
Milford,Milford Green,CT,86,86,86,general protestors,General,https://www.facebook.com/events/2661048377240072/,41.2306979,-73.064036,41.2268979,-73.100486,Link
Omaha,Memorial Park,NE,200,1000,"200 to 1,000",Tri-Faith Initiative,vigil,https://www.facebook.com/events/2477860755593250/,41.2565369,-95.9345034,41.2571939,-95.9643534,Link
Nantucket,green,MA,34,34,34,general protestors,General,https://www.facebook.com/events/362430134457100/,41.2834704,-70.099451,41.2816774,-70.080521,Link
Redding,Town Green,CT,120,120,120,General,General,https://www.facebook.com/events/2399168133466566/,41.3045399,-73.392898,41.3020889,-73.383368,Link
Milford,Pike County Courthouse,PA,54,54,54,general protestors,vigil,https://www.facebook.com/events/392270798071960/?active_tab=about,41.322316,-74.8023882,41.324269,-74.7617582,Link
Plymouth,Marshall County Courthouse,IN,30,30,30,La Voz Unida,General,https://www.facebook.com/events/2345085288904554/,41.3436554,-86.3097278,41.3408014,-86.3149178,Link
Bethel,Bethel Municipal Center,CT,147,147,147,General,General,https://www.facebook.com/events/412578639339797/,41.3712283,-73.4139621,41.3715273,-73.3931221,Link
Hamden,Hamden Town Hall,CT,187,187,187,Yale Child Study Center; Yale Pediatrics,Rally; vigil,https://www.facebook.com/events/385191625449958/,41.3838782,-72.9026064,41.3847072,-72.8718864,Link
Edgartown,Cannonball Park,MA,24,24,24,general protestors,General,https://www.facebook.com/events/2423801937681958/,41.3890052,-70.5133599,41.3925512,-70.5540699,Link
Goshen,Orange County Jail,NY,106,106,106,Philipstown Women are Watching Public,rally; vigil,https://www.facebook.com/events/455766815001293/,41.4020382,-74.3243191,41.4059192,-74.3579591,Link
Chester,Chester Meeting House,CT,75,75,75,General,General,https://www.facebook.com/events/1061012210956242/,41.4022081,-72.4824991,41.3997331,-72.4572291,Link
Scranton,Courthouse Square,PA,52,52,52,general protestors,vigil,https://www.facebook.com/events/1215780278603488/,41.408969,-75.6624122,41.406759,-75.6155222,Link
Cleveland,Market Square,OH,400,500,400 to 500,Action Together Lakewood Area,rally; vigil,https://www.facebook.com/events/629983760816802/,41.49932,-81.6943605,41.496219,-81.6748505,Link
Moline,Mercado On Fifth,IL,273,273,273,Quad Cities Interfaith,General,https://www.facebook.com/events/2817112634997778/,41.5067003,-90.5151342,41.5043313,-90.5393542,Link
Mokena,21063 Prestancia Dr,IL,60,60,60,Southwest Suburban Activists,General,https://www.facebook.com/events/457308145032362,41.5261437,-87.8892189,41.5280727,-87.8757489,Link
Falmouth,Peg Noonan Park,MA,28,28,28,general protestors,General,https://www.facebook.com/events/2383284991992328/,41.5532208,-70.6085886,41.5551518,-70.6267486,Link
Highland  ,Wicker Memorial Park,IN,100,100,100,PDA Calumet Region,vigil,https://www.facebook.com/events/738460216586177/,41.5536468,-87.451984,41.5501778,-87.437974,Link
Goshen,Elkhart County Courthouse,IN,250,250,250,general protestors,General,https://www.facebook.com/events/2233090417001035/,41.5822716,-85.8344383,41.5841316,-85.8128483,Link
Des Moines,outside capitol,IA,36,36,36,General,General,https://www.desmoinesregister.com/story/news/local/2019/07/12/iowans-gather-polk-county-jail-protest-conditions-faced-migrants/1717403001/,41.5868353,-93.6249593,41.5838233,-93.5918593,Link
Des Moines,Polk County Jail,IA,200,200,200,General,General,https://www.facebook.com/events/875257159475415/,41.5868353,-93.6249593,41.5850713,-93.6634093,Link
Plainfield,Electric Park,IL,73,73,73,General,General,https://www.facebook.com/events/513518682519811/,41.632223,-88.2120315,41.631266,-88.2178515,Link
New Bedford,Riverside Park,MA,43,43,43,Action Together Southeastern MA,vigil,https://www.facebook.com/events/598875470636392/,41.6362152,-70.934205,41.6329242,-70.919035,Link
Fairhaven,a peace pole outside of the Unitarian Memorial Church,MA,40,40,40,general protestors,General,https://www.southcoasttoday.com/news/20190713/residents-stand-up-for-immigrants-with-lights-for-liberty,41.6376043,-70.9036487,41.6409503,-70.9046987,Link
Hyannis,First Baptist Church of Hyannis,MA,22,22,22,general protestors,General,https://www.facebook.com/events/1839346286166373/,41.6524911,-70.2881124,41.6499041,-70.3017624,Link
Toledo,Levis Square,OH,,,,Indivisible Toledo,vigil,https://www.facebook.com/events/2314862101961925/,41.6528052,-83.5378674,41.6562142,-83.5542874,Link
Harwich,intersection of Routes 124 & 39,MA,4,4,4,Cape Cod Coalition for Safe Communities,General,https://www.facebook.com/events/1317023135122409/,41.6716498,-70.0622231,41.6705608,-70.0244731,Link
South Bend,Federal Courthouse,IN,164,164,164,general protestors,General,https://www.facebook.com/events/455912185142448/,41.6763545,-86.2519898,41.6719915,-86.2421198,Link
Chatham,Town Hall,MA,3,3,3,Lower Cape Indivisible,General,https://www.facebook.com/events/518598278680309/,41.6820897,-69.9597664,41.6779707,-70.0091664,Link
Glastonbury,First Church,CT,150,200,150 to 200,general protestors,General,https://www.facebook.com/events/523148851555654/,41.6861794,-72.5450779,41.6877854,-72.5921179,Link
Willimantic,Jillson Square,CT,24,24,24,General,General,https://www.facebook.com/events/273039240210459/,41.7106543,-72.2081338,41.7085243,-72.2181038,Link
Kent,St. Andrews Church Yard,CT,16,16,16,Kent Democratic Town Committee,General,https://www.facebook.com/events/709219472863477/,41.7247554,-73.4769643,41.7259974,-73.4728943,Link
Dennis,Town Hall,MA,,,,general protestors,General,https://www.facebook.com/events/336436463719320/,41.7353062,-70.1939429,41.7320812,-70.2304629,Link
Naperville,Riverwalk Park,IL,137,137,137,General,General,https://www.facebook.com/events/2324210314573783/,41.7508391,-88.1535352,41.7490351,-88.1704152,Link
Aurora,Water Street Mall,IL,49,49,49,general protestors,General,https://www.facebook.com/events/709686742793513/,41.7605849,-88.3200715,41.7635219,-88.3157115,Link
West Hartford,Corner of Farmington and North Main Streets,CT,103,103,103,Lights for Liberty West Hartford,General,https://www.facebook.com/events/456866564874110/,41.7620842,-72.7420151,41.7586592,-72.7110251,Link
Hartford,ICE Regional Headquarters,CT,150,150,150,general protestors,vigil,https://www.facebook.com/events/373548446629887/,41.7658043,-72.6733723,41.7701893,-72.6659623,Link
Manchester,Center Memorial Park,CT,80,150,80 to 150,general protestors,General,https://www.facebook.com/events/322539665317332/,41.7759301,-72.5215009,41.7740911,-72.4924909,Link
Torrington,Noelke Gallery,CT,20,20,20,Lights for Liberty: Torrington CT,General,https://www.facebook.com/events/391645854786440/,41.8003049,-73.1211715,41.8006649,-73.1385815,Link
Liberty,Main Street and Buckley Street,NY,20,20,20,general protestors,vigil,https://www.facebook.com/events/520843078491887/,41.8012001,-74.74655,41.7992171,-74.70448,Link
Providence,state house,RI,200,500,200 to 500,general protestors,vigil,https://www.facebook.com/events/631405607358542/,41.8239891,-71.4128343,41.8239921,-71.4456243,Link
Glen Ellyn,St. Mark's Episcopal Church,IL,300,300,300,Our Voice- Chicago West Suburbs,General,https://www.facebook.com/events/2343494412579424,41.8775293,-88.0670118,41.8771543,-88.0181018,Link
Chicago,127th and Western,IL,50,50,50,Southsiders for Peace,General,https://www.facebook.com/events/1239723782857400/,41.8781136,-87.6297982,41.8801346,-87.6226982,Link
Chicago,Federal Center and Plaza,IL,36,200,36 to 200,Refuse Fascism Chicago; ,protest,https://www.facebook.com/events/2357839370942097/,41.8781136,-87.6297982,41.8774176,-87.6247282,Link
Chicago,1651 N Kedzie Ave,IL,,,,La Casa del Carpintero; Proyecto Vivire,General,https://www.facebook.com/events/2518671718152474/,41.8781136,-87.6297982,41.8806796,-87.6594282,Link
Chicago,Irving Park and Central,IL,126,126,126,general protestors,General,https://www.facebook.com/events/465165294301453/,41.8781136,-87.6297982,41.8820006,-87.6179182,Link
Chicago,downtown,IL,5000,5000,"5,000",General,protest,https://nbcmontana.com/news/nation-world/thousands-protest-trump-immigration-policies-in-chicago,41.8781136,-87.6297982,41.8732726,-87.6317982,Link
Oak Park,Scoville Park,IL,36,36,36,General,General,https://www.facebook.com/events/2390272034344695/,41.8850317,-87.7845025,41.8861477,-87.7597925,Link
Adrian,Lenawee County Courthouse,MI,150,150,150,General,vigil,https://www.facebook.com/events/884201965293556/,41.8975471,-84.0371659,41.8936221,-84.0331459,Link
Elmhurst,Salt Creek Park,IL,49,49,49,general protestors,General,https://www.facebook.com/events/509230286492940/,41.8994744,-87.9403418,41.8982894,-87.9443118,Link
Monroe,Corner of N. Monroe St and Elm Ave,MI,46,46,46,Monroe County Positive Action Network; IHM Sisters Justice; Peace and Sustainability Office; the Stronger Together Huddle ,General,https://www.facebook.com/events/386782838616570/,41.9164343,-83.3977101,41.9190203,-83.4155301,Link
Hudson Valley,Route 9 & Market Street,NY,43,43,43,Hudson Valley Strong- Indivisible,vigil,https://www.facebook.com/events/1589048954561151/,41.9209018,-73.9612887,41.9175788,-73.9126387,Link
Kingston,City Hall,NY,197,197,197,Citizen Action of New York Hudson Valley Chapter,vigil,https://www.facebook.com/events/330459151211836/,41.9270367,-73.9973608,41.9259087,-73.9923908,Link
DeKalb,Memorial Park,IL,56,56,56,REACT; others listed on FB Event page,General,https://www.facebook.com/events/696673127432866/,41.9294736,-88.7503647,41.9259536,-88.7709047,Link
Wellfleet,Town Hall,MA,18,18,18,general protestors,General,https://www.facebook.com/events/2177767665678333/,41.9305468,-70.0309753,41.9344518,-70.0034453,Link
East Granby,East Granby Congregational Church ,CT,37,37,37,General,General,https://www.facebook.com/events/466066037506080/,41.9412081,-72.7273158,41.9445081,-72.7682758,Link
Plymouth,Plymouth Rock,MA,,,,general protestors,General,https://www.facebook.com/events/2395648537167513/,41.9584457,-70.6672621,41.9595067,-70.6365021,Link
Cedar Rapids,Federal Court House,IA,200,200,200,Center for Worker Justice of Eastern Iowa; Freedom for Immigrants Eastern Iowa,General,https://www.facebook.com/events/2334600983483773/,41.9778795,-91.6656232,41.9792795,-91.6344932,Link
Nevada,Story County Justice Center,IA,63,63,63,Story County Democrats of Iowa,General,https://www.facebook.com/events/2403956883159089/,42.0227184,-93.4523014,42.0205454,-93.4157014,Link
Easton,Windmill Park Green,MA,15,15,15,Lower Cape Indivisible,General,https://www.facebook.com/events/2433665990199729/,42.0245442,-71.1286594,42.0292182,-71.1005094,Link
Elgin,Christ the Lord Lutheran Church,IL,,,,Christ the Lord Lutheran Church,General,https://www.facebook.com/events/2609730495704628/,42.0354084,-88.2825668,42.0366034,-88.3222068,Link
Woodstock,Centennial Circle,NY,67,67,67,general protestors,vigil,https://www.facebook.com/events/2523069511056821/,42.0409247,-74.1181971,42.0445257,-74.0947671,Link
Arlington Heights,Arlington Heights Train Station,IL,200,200,200,General,General,https://www.facebook.com/events/3380997878592450/,42.0883603,-87.9806265,42.0846043,-87.9991465,Link
Arlington Heights,,IL,,,,General,General,https://www.facebook.com/events/3380997878592450/,42.0883603,-87.9806265,42.0921843,-87.9799065,Link
Jamestown,Dow Park,NY,38,38,38,Chautauqua Progressive Action,vigil,https://www.facebook.com/events/641526006329225/,42.0970023,-79.2353259,42.0987333,-79.2584859,Link
Highland Park,Robert M. Buhai Plaza,IL,79,79,79,North Shore Indivisible,General,https://www.facebook.com/events/2225790747732606/,42.1816918,-87.8003437,42.1812588,-87.7631537,Link
Ashland,Ashland Plaza,OR,,,,Oregon District 2- Indivisible,vigil,https://www.facebook.com/events/424675348119327/,42.1945758,-122.7094767,42.1983098,-122.7261167,Link
Great Barrington,Society of the Congregational Church of Great Barrington,MA,259,271,259 to 271,Grace Church,General,https://www.facebook.com/events/913075269041457/,42.1959798,-73.362008,42.1937478,-73.376978,Link
Southgate,14720 Fort St,MI,34,34,34,general protestors,General,https://www.facebook.com/events/433984897183331/,42.2139284,-83.1938147,42.2160714,-83.1760247,Link
Crystal Lake,5650 Northwest Highway,IL,,,,IndivisibleNWIL,General,https://www.facebook.com/events/342218806460868/,42.2411344,-88.3161965,42.2410294,-88.3393365,Link
Ypsilanti,Riverside Park,MI,170,170,170,Interfaith Council for Peace & Justice; Love Resilience Action Ypsi,General,https://www.facebook.com/events/688362441624525/,42.2411499,-83.6129939,42.2458619,-83.6092739,Link
Hingham,"Old Ship Church, Parish House",MA,62,62,62,South Shore Action,General,https://m.facebook.com/events/374331619888495/,42.2418172,-70.889759,42.2407682,-70.841999,Link
Worcester,661 Main St,MA,108,108,108,general protestors,General,https://www.facebook.com/events/425847474806956/,42.2625932,-71.8022934,42.2666302,-71.8140234,Link
Rockford,Lutheran Church of the Good Shepherd,IL,24,24,24,general protestors,vigil,https://www.facebook.com/events/405041060101057/,42.2711311,-89.0939952,42.2738711,-89.0748552,Link
Delhi,Senator Charles D. Cook County Office Building,NY,50,65,50 to 65,general protestors,vigil,https://www.facebook.com/events/377278639813587/,42.2781401,-74.9159946,42.2773001,-74.9491046,Link
Framingham,Memorial Building,MA,244,244,244,general protestors,General,https://www.facebook.com/events/465439274216076/,42.279286,-71.4161565,42.28216,-71.4560665,Link
Ann Arbor,Federal building,MI,200,800,200 to 800,general protestors,General,https://www.facebook.com/events/2365990303462262/,42.2808256,-83.7430378,42.2768846,-83.7453678,Link
Needham,Needham Town Common; 1471 Highland Avenue,MA,30,30,30,Progressive Needham,General,https://www.facebook.com/events/2378119469068298/,42.2809285,-71.2377548,42.2838775,-71.2720748,Link
Chelsea,Pierce Park,MI,59,59,59,General,General,https://www.facebook.com/events/337679230457718/,42.3180919,-84.0205029,42.3204929,-84.0361929,Link
Battle Creek,185 E Michigan Ave ,MI,62,62,62,White Rose Revolt Michigan,General,https://www.facebook.com/events/1268220076635349/,42.3211522,-85.1797142,42.3176932,-85.1959942,Link
Detroit,333 Mt Elliot,MI,200,750,200 to 750,general protestors,General,https://www.facebook.com/events/471612146748761/,42.331427,-83.0457538,42.335669,-83.0367038,Link
Boston,State House,MA,200,1000,"200 to 1,000",Massachusetts Jobs with Justice; other advocacy groups,General,https://www.facebook.com/events/2399385257006613/,42.3600825,-71.0588801,42.3647795,-71.1018401,Link
Waukegan,Christ Episcopal Church Waukegan,IL,58,58,58,Lake County Immigrant Advocacy,General,https://www.facebook.com/events/436116543896309/,42.3636331,-87.8447938,42.3594451,-87.8149138,Link
Watertown,Watertown Square Park,MA,80,100,80 to 100,general protestors,General,https://www.lightsforliberty.org/,42.3709299,-71.1828321,42.3743279,-71.1613421,Link
Cambridge,City Hall ,MA,148,148,148,general protestors,General,https://www.facebook.com/events/706435219844056/,42.3736158,-71.1097335,42.3744418,-71.1300335,Link
Hudson,Unitarian Church of Marlborough and Hudson,MA,100,100,100,general protestors,General,https://www.facebook.com/events/2591312507553597/,42.391736,-71.566139,42.390536,-71.576219,Link
South haven,Huron Pavillion,MI,35,35,35,general protestors,General,https://www.facebook.com/events/419427801987817/,42.4030865,-86.2736407,42.4072965,-86.2655507,Link
Galena,Green St Bridge,IL,43,43,43,General,General,https://www.facebook.com/events/3108715622473659/,42.4166744,-90.4290168,42.4205544,-90.4304668,Link
Ithaca,Bernie Milton Pavillion,NY,200,800,200 to 800,general protestors,vigil,https://www.facebook.com/events/309786843258319/,42.4439614,-76.5018807,42.4479994,-76.4684807,Link
Lexington,Hancock church; Lexington Green,MA,250,250,250,Hancock Church; Minuteman Indivisible,General,https://www.facebook.com/events/372823813417523/,42.4473497,-71.2271531,42.4450217,-71.2049831,Link
Pittsfield,Park Square Historical District,MA,200,200,200,Indivisible Pittsfield,vigil,https://www.facebook.com/events/382152805748506/,42.4500845,-73.2453824,42.4470365,-73.2585024,Link
South Deerfield,Tilton Library,MA,30,30,30,general protestors,General,https://www.facebook.com/events/2480522431968563/,42.4773097,-72.6078667,42.4776037,-72.5754467,Link
Bedford,The First Parish,MA,43,43,43,The First Parish,General,https://www.facebook.com/events/2353913648035819/,42.4906231,-71.2760089,42.4948241,-71.2445889,Link
Fort Dodge,City Square Park,IA,22,22,22,One People Project,General,https://www.facebook.com/events/671362626668707/,42.4974694,-94.1680158,42.4955584,-94.1350958,Link
Salem,"First Church, Unitarian Universalist",MA,287,287,287,"Raise Your Hands Up; First Church, Unitarian Universalist",General,https://www.facebook.com/events/694688187639432/,42.51954,-70.8967155,42.523923,-70.9457755,Link
Reading,239 Woburn St,MA,120,125,120 to 125,Unitarian Universalist Church of Reading,General,https://www.facebook.com/events/2337049273230922/,42.5256563,-71.0952891,42.5258933,-71.1145591,Link
Beverly,First Baptist Church,MA,34,34,34,"Lights for Liberty: Beverly, MA",General,https://www.facebook.com/events/2355151628105486/,42.5584283,-70.880049,42.5615233,-70.846979,Link
Westford,Town Common,MA,150,200,150 to 200,general protestors,General,https://www.facebook.com/events/2159132997497937/,42.5792583,-71.4378411,42.5749153,-71.4159011,Link
Kenosha,Kenosha Detention Center,WI,82,82,82,Forward Kenosha; Our Wisconsin Revolution: CD1,vigil,https://www.facebook.com/events/387999925177071/,42.5847425,-87.8211854,42.5830615,-87.7778154,Link
Greenfield,Town Common,MA,120,150,120 to 150,general protestors,General,https://www.facebook.com/events/2066277927011280/,42.587915,-72.5994104,42.58292,-72.5836104,Link
Greenfield,Franklin County Jail and detention center,MA,200,400,200 to 400,Pioneer Valley Workers Center,vigil,https://www.facebook.com/events/626954271136591/,42.587915,-72.5994104,42.586054,-72.5851304,Link
Storm Lake ,Awaysis Park Great Lawn,IA,56,56,56,General,General,https://www.facebook.com/events/459824037927429/,42.6430359,-95.2019399,42.6446009,-95.2200599,Link
Albany,West Capitol Park,NY,500,700,500 to 700,general protestors,vigil,https://www.facebook.com/events/746787915723374/,42.6525793,-73.7562317,42.6511643,-73.7667517,Link
Andover,Shawsheen Square,MA,41,41,41,Merrimack Valley Shows Up for Racial and Social Justice,General,https://www.facebook.com/events/2264278723822440/,42.6583356,-71.1367953,42.6540316,-71.1261153,Link
Penn Yan,Red Jacket Park,NY,26,26,26,general protestors,vigil,https://www.facebook.com/events/1637836699681421/,42.6609026,-77.0538577,42.6646166,-77.0701777,Link
Lansing,Capitol,MI,300,300,300,general protestors,vigil,https://www.facebook.com/events/686891618436595/,42.732535,-84.5555347,42.73222,-84.5642147,Link
Newburyport,Market Square,MA,50,50,50,Indivisible- RISE Newburyport,General,https://www.facebook.com/events/2524958957527700/,42.8125913,-70.8772751,42.8137133,-70.8811951,Link
Whitewater,Cravath Lakefront Park,WI,200,200,200,general protestors,vigil,https://www.facebook.com/events/1193410007507805/,42.8336205,-88.7323272,42.8351015,-88.7059972,Link
WIlton,Wilton Public Library,NH,8,8,8,Wilton NH Peace Action,vigil,https://www.facebook.com/events/2301334446850729,42.8433943,-71.7351077,42.8410783,-71.7361277,Link
Brattleboro,Pliny Park,VT,100,125,100 to 125,Brattleboro-Area Not In Our Namer,vigil,https://www.facebook.com/events/690387604765089,42.8509152,-72.5578678,42.8518162,-72.5127478,Link
Pocatello,outside city hall,ID,6,6,6,Unitarian Universalist Fellowship,General,https://www.localnews8.com/news/pocatello-hosting-sole-lights-for-liberty-vigil-in-idaho/1094777192,42.8621042,-112.4506191,42.8649852,-112.4988191,Link
Kentwood,5400 S Division,MI,64,64,64,general protestors,General,https://www.facebook.com/events/2453197404899797/,42.8694731,-85.6447492,42.8660751,-85.6548392,Link
Peterborough,Putnam Park,NH,200,400,200 to 400,general protestors,protest; vigil,https://www.facebook.com/events/372948413358376/,42.8706048,-71.9516746,42.8668628,-71.9274146,Link
Yankton,Meridian Highway Bridge,SD,100,100,100,general protestors,vigil,https://www.facebook.com/events/350941975547041/,42.8711088,-97.3972813,42.8677818,-97.3649213,Link
Buffalo,Elmwood Ave and Bidwell Pkwy,NY,300,350,300 to 350,general protestors,vigil,https://www.facebook.com/events/1320433761465898/,42.8864468,-78.8783689,42.8832538,-78.8710889,Link
Fort Atkinson,MAIN ST BRIDGE,WI,100,175,100 to 175,general protestors,General,https://www.facebook.com/events/380814075899563/,42.9288944,-88.8370509,42.9251334,-88.7945909,Link
Grand Rapids,Veterans Memorial Park,MI,234,234,234,General,General,https://www.facebook.com/events/2464487860441529/,42.9633599,-85.6680863,42.9615509,-85.6384663,Link
Port Huron,Pine Grove Avenue,MI,36,36,36,St. Clair County Democrats,General,https://www.thetimesherald.com/story/news/2019/07/12/st-clair-county-dems-line-up-pro-immigration-protest/1720877001/,42.9708634,-82.4249142,42.9717374,-82.3912542,Link
Putney,Tavern Green,VT,39,39,39,The Putney Huddle,vigil,https://www.facebook.com/events/389947684970474/,42.975268,-72.5217237,42.979477,-72.5165937,Link
Batavia,Federal Dr,NY,170,200,170 to 200,general protestors,vigil,https://www.facebook.com/events/630475337420957/,42.9981156,-78.1875167,42.9978136,-78.1894367,Link
Milwaukee,city hall,WI,379,379,379,general protestors,protest; vigil,https://www.facebook.com/events/489483428464961/,43.0389025,-87.9064736,43.0364905,-87.9255936,Link
Syracuse,James M. Hanley Federal Building,NY,400,400,400,General,General,https://www.facebook.com/events/360904611292727/,43.0481221,-76.1474244,43.0472231,-76.1473244,Link
Wauwatosa,city hall,WI,249,249,249,Indivisible Tosa Events; Citizen Action of Wisconsin; Unitarian Universalist Church West; Voces de la Frontera; Tosa Together,vigil,https://www.facebook.com/events/1395914477222983,43.0494572,-88.0075875,43.0534642,-88.0546375,Link
Portsmouth,South Church Portsmouth,NH,100,100,100,general protestors,vigil,https://www.facebook.com/events/2358697344409203/,43.0717552,-70.7625532,43.0693262,-70.8044832,Link
Madison,Brittingham Park,WI,200,200,200,Indivisible Madison,vigil,https://www.facebook.com/events/2426255384272505/,43.0730517,-89.4012302,43.0750027,-89.3716602,Link
New Hartford,,NY,160,160,160,general protestors,vigil,https://twitter.com/RebeccaV0517/status/1150029447380328448,43.073403,-75.2876661,43.071435,-75.2380161,Link
Utica,,NY,130,130,130,general protestors,General,https://twitter.com/MissTips/status/1150184077510750209,43.100903,-75.232664,43.100173,-75.200814,Link
Greenville,Heritage Park,MI,26,26,26,general protestors,General,https://www.facebook.com/events/2277832155866228/,43.1775314,-85.2527987,43.1782204,-85.2957687,Link
Decorah,Winneshiek County Courthouse,IA,,,,Everything Decorah; NE Iowa Peace & Justice Center Inc.,General,https://www.facebook.com/events/463222670891411/,43.3033056,-91.7857092,43.3082076,-91.7690892,Link
Glen Falls,Centennial Circle; in front of U.S. Rep. Elise Stefanik’s office,NY,150,150,150,general protestors,vigil,https://www.facebook.com/events/2523069511056821/,43.3095164,-73.6440058,43.3065164,-73.6409558,Link
Sioux Falls,McKennan Park,SD,33,33,33,Common Grounds Indivisible SD,vigil,https://www.facebook.com/events/406536249953004/,43.5473028,-96.728333,43.5497728,-96.723743,Link
Viroqua,Eckhart Park,WI,34,34,34,Northwoods Progressives,vigil,https://www.facebook.com/events/478528039574438/,43.5569174,-90.8887413,43.5532664,-90.8691013,Link
Wolfeboro,Pickering Corner,NH,12,12,12,general protestors,vigil,https://www.facebook.com/events/2141036142688630/,43.5852069,-71.2094799,43.5896119,-71.2133399,Link
Rutland,Main St Park,VT,100,130,100 to 130,Lights for Liberty Rutland,vigil,https://www.facebook.com/events/2829325537140834/,43.6106237,-72.9726065,43.6120407,-73.0153165,Link
Boise,City Hall; Anne Frank Memorial,ID,,,,General,General,https://www.facebook.com/events/331675471095468/,43.6150186,-116.2023137,43.6136456,-116.2129337,Link
Midland,Midland County Courthouse,MI,77,77,77,General,General,https://www.facebook.com/events/703003243472144/,43.6155825,-84.2472116,43.6172805,-84.2689016,Link
Albert Lea,Freeborn County Sheriff's Office,MN,,,,Families Belong Together,General,https://www.facebook.com/events/1325525950937350/?active_tab=about,43.6478006,-93.3686555,43.6479546,-93.3396955,Link
Portland,Monument Square,ME,200,300,200 to 300,General,General,https://www.facebook.com/events/2336133393120718/,43.6590993,-70.2568189,43.6609363,-70.2711389,Link
Hanover,Dartmouth Green,NH,300,400,300 to 400,general protestors,rally; fundraiser,https://www.facebook.com/events/2376627209279487/,43.7022451,-72.2895526,43.7010691,-72.3187526,Link
La Crosse,Cameron Park,WI,300,300,300,general protestors,vigil,https://www.facebook.com/events/315010909379462/,43.8137751,-91.2519017,43.8122661,-91.2719417,Link
Bath,,ME,70,70,70,@IndivisibleSagC,General,https://twitter.com/SuitUpMaine/status/1149904229416484865,43.9106353,-69.8206023,43.9108113,-69.8014523,Link
Watertown,Public Square,NY,33,33,33,All Souls Unitarian Universalist Church,vigil,https://www.facebook.com/events/448761825701668/?,43.9747838,-75.9107565,43.9725998,-75.9323865,Link
Rochester,Mayo Park Gazebo,MN,200,200,200,Families Belong Together Rochester,General,https://www.facebook.com/events/651811945333697/,44.0121221,-92.4801989,44.0072041,-92.4801089,Link
Middlebury,College Park,VT,40,40,40,general protestors,vigil,https://www.facebook.com/events/723030848152674,44.0153371,-73.16734,44.0189491,-73.17841,Link
Oshkosh,315 N Main St,WI,12,12,12,UWO Students for a Democratic Society,vigil,https://www.facebook.com/events/352672235430423/,44.0247062,-88.5426136,44.0279622,-88.5704336,Link
Eugene,Wayne L. Morse U.S. Courthouse,OR,200,200,200,Indivisible Eugene,vigil; march,https://www.facebook.com/events/405697980038358/,44.0520691,-123.0867536,44.0490971,-123.1124336,Link
Bend,2001 NE 6th St,OR,87,87,87,Indivisible Bend,vigil,https://www.facebook.com/events/375255790011773/,44.0581728,-121.3153096,44.0537848,-121.3063096,Link
Manitowoc,,WI,24,24,24,general protestors,protest,https://wibailoutpeople.org/2019/07/12/dozens-in-manitowoc-july-12-demand-close-the-camps-now-declare-no-human-being-is-illegal/,44.0886059,-87.657584,44.0838159,-87.626394,Link
Lewiston,James Longley Bridge-Court St Auburn; Main St Lewiston,ME,20,20,20,Resist Central Maine,General,https://www.facebook.com/events/2271046596480253/?active_tab=about,44.100351,-70.2147764,44.105268,-70.2105664,Link
Wanakena,Town Green,NY,9,9,9,general protestors,vigil,https://www.facebook.com/events/2256541297746004/,44.1339512,-74.9210219,44.1382532,-74.9230419,Link
Manistee,Corner of River St and U.S. 31,MI,8,8,8,General,General,https://www.facebook.com/events/385467682091240/,44.2444473,-86.324253,44.2451373,-86.326183,Link
Montpelier,State and Main Street,VT,40,40,40,general protestors,vigil,https://www.facebook.com/events/331464927775410/,44.2600593,-72.5753869,44.2579493,-72.6107069,Link
Appleton,Houdini Plaza,WI,300,300,300,One Love - Wellness Center,vigil,https://www.facebook.com/events/498034334275516/,44.2619309,-88.4153847,44.2611149,-88.3699047,Link
Yachats,in front of 501 Building next to the Commons,OR,44,44,44,general protestors,vigil,https://www.facebook.com/events/873552003021737/?active_tab=discussion,44.3112312,-124.1048418,44.3136652,-124.1474418,Link
St. Peter,Gorman Park,MN,43,43,43,Indivisible St. Peter/ Greater Mankato,General,https://www.facebook.com/events/2085674195060699/,44.3258932,-93.955691,44.3237922,-93.925661,Link
Saranac Lake,Riverside Park,NY,49,49,49,general protestors,vigil,https://www.facebook.com/events/364511377435012/,44.329496,-74.1312662,44.333227,-74.1259762,Link
Wisconsin Rapids,Veteran's Memorial Park,WI,8,8,8,general protestors,vigil,https://www.facebook.com/events/345674309440343/,44.3835763,-89.8173465,44.3846113,-89.8103165,Link
Saint Johnsbury,post office,VT,42,42,42,general protestors,vigil,https://www.facebook.com/events/1362054050602546/,44.4192627,-72.0151184,44.4148917,-72.0365384,Link
Stowe,The Jewish Community of Greater Stowe; 1189 Cape Cod Road,VT,,,,The Jewish Community of Greater Stowe; UU Fellowship of Stowe,vigil,https://www.facebook.com/events/1145856595583264/?active_tab=about,44.4654332,-72.6874023,44.4669502,-72.6576523,Link
Burlington,UU Church; Church Street,VT,200,200,200,general protestors,vigil,https://www.facebook.com/events/353350558712401/,44.4758825,-73.212072,44.4727495,-73.237952,Link
