CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,address,g_ad,g_lat,g_lon
Albuquerque,Civic Plaza,NM,US,6/30/2018,na,5000,,5000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19877/signup/?source=&s=,https://twitter.com/NM_risestronger/status/1013153588640509952,,,"Albuquerque , NM, US","Albuquerque, NM, USA",35.0843859,-106.650422
Alexandria,Kingstowne Towne Center (glassy area),VA,US,6/30/2018,estimated 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20036/signup/?source=&s=,http://www.fairfaxtimes.com/articles/alexandria-church-calls-for-immigrant-family-reunification/article_772852a6-7ee5-11e8-8b6e-fff99734edb8.html,,,"Alexandria , VA, US","Alexandria, VA, USA",38.8048355,-77.0469214
Alliance,Box Butte County Courthouse,NE,US,6/30/2018,FB: 24,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://www.facebook.com/events/184566742232921/,,,,"Alliance , NE, US","Alliance, NE 69301, USA",42.0930235,-102.8702006
Alpine,Brewster County Courthouse lawn,TX,US,6/30/2018,roughly 150,150,,150,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20310/signup/?source=&s=,https://twitter.com/HCookAustin/status/1013124700342505472,https://marfapublicradio.org/blog/in-alpine-and-across-u-s-protestors-march-against-trumps-immigration-policy/,,"Alpine , TX, US","Alpine, TX, USA",30.3584919,-103.6610115
Alvarado,Prairieland Detention Center,TX,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20473/signup/?source=&s=,,,,"Alvarado , TX, US","Alvarado, TX 76009, USA",32.4065312,-97.2116782
Amarillo,Sanborn Park,TX,US,6/30/2018,several dozens,36,,36,,,Indivisible Amarillo,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20487/signup/?source=&s=,https://www.myhighplains.com/news/families-belong-together-rally-in-amarillo/1276181042,,,"Amarillo , TX, US","Amarillo, TX, USA",35.2219971,-101.8312969
Ambler,Kohler Park Horsham,PA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20542/signup/?source=&s=,,,,"Ambler , PA, US","Ambler, PA 19002, USA",40.1545535,-75.2215651
Anacortes,Corner of 12th and Commercial,WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20002/signup/?source=&s=,,,,"Anacortes , WA, US","Anacortes, WA 98221, USA",48.5126045,-122.6126718
Anchorage,Delaney Park Strip,AK,US,6/30/2018,hundreds; FB: 348,200,,348,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20065/signup/?source=&s=,https://www.facebook.com/events/1909211695765918/,https://www.adn.com/alaska-news/anchorage/2018/06/30/protesters-gather-on-anchorage-park-strip-against-family-separations-at-us-mexico-border/,,"Anchorage , AK, US","Anchorage, AK, USA",61.2180556,-149.9002778
Andalusia,Court Square,AL,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20138/signup/?source=&s=,,,,"Andalusia , AL, US","Andalusia, AL, USA",31.3085039,-86.4832913
Anderson,Dickmann Town Center Park,IN,US,6/30/2018,around 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.heraldbulletin.com/news/local_news/residents-community-members-gather-to-support-immigrant-children/article_48062ee0-c92c-5069-9e38-c931def9ac59.html,,,,"Anderson , IN, US","Anderson, IN, USA",40.1053196,-85.6802541
Andover,Intersection of rt. 133 and rt. 28 (Shawsheen Square),MA,US,6/30/2018,FB: 35,35,,35,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20573/signup/?source=&s=,https://www.facebook.com/events/279678005911580/,,,"Andover , MA, US","Andover, MA, USA",42.6583356,-71.1367953
Angels Camp,Utica Park,CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20364/signup/?source=&s=,,,,"Angels Camp , CA, US","Angels Camp, CA 95222, USA",38.0677832,-120.5385299
Angola,First Congregational United Church of Christ,IN,US,6/30/2018,over 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.facebook.com/CCCSteuben/?hc_ref=ARQU573It_Hywhe-nCGIAnIxcLCqXuNC2lJX6UFU0BMiQJT45mC1uzbZC6XfQ73bdHY&fref=nf,,,,"Angola , IN, US","Angola, IN 46703, USA",41.6347726,-84.9994088
Ann Arbor,The Diag,MI,US,6/30/2018,thousands,2000,,2000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19847/signup/?source=&s=,https://www.mlive.com/expo/news/erry-2018/06/a96133224e9154/signs_spotted_at_the_families.html,,,"Ann Arbor , MI, US","Ann Arbor, MI, USA",42.2808256,-83.7430378
Antler,,ND,US,6/30/2018,na,15,,15,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e519c6f81bb9,https://twitter.com/JessLivMo/status/1013246104991911936,https://www.washingtonpost.com/local/tens-of-thousands-expected-to-descend-on-washington-to-protest-trumps-immigration-policy/2018/06/30/0e4a6a26-7bde-11e8-93cc-6d3beccdd7a3_story.html?noredirect=on&utm_term=.ac705feac6ff,,"Antler , ND, US","Antler, ND 58711, USA",48.9708532,-101.2823803
Appleton,Houdini Plaza,WI,US,6/30/2018,at least a couple hundred,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20152/signup/?source=&s=,https://www.stevenspointjournal.com/story/news/2018/06/30/wisconsin-protesters-denounce-separation-immigrant-families/734264002/,,,"Appleton , WI, US","Appleton, WI, USA",44.2619309,-88.4153847
Arkville,,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,,"Arkville , NY, US","Arkville, NY 12406, USA",42.1478659,-74.6198771
Arlington Heights,Village Hall; North School Park,IL,US,6/30/2018,at least 700,700,,700,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20547/signup/?source=&s=,http://www.dailyherald.com/news/20180627/arlington-heights-elgin-other-suburbs-join-national-families-belong-together-rallies,,,"Arlington Heights , IL, US","Arlington Heights, IL, USA",42.0883603,-87.9806265
Asbury Park,Springwood Park,NJ,US,6/30/2018,about 300,200,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20302/signup/?source=&s=,https://www.app.com/videos/news/2018/06/30/keep-families-together-rally-asbury-park-draws-hundreds/748168002/,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,"Asbury Park , NJ, US","Asbury Park, NJ 07712, USA",40.2203907,-74.0120817
Asheville,68 Haywood,NC,US,6/30/2018,over 1000,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19994/signup/?source=&s=,http://wlos.com/news/local/live-families-belong-together-rally-in-downtown-asheville,https://www.citizen-times.com/picture-gallery/news/local/2018/06/30/over-1000-attend-asheville-families-belong-together-rally/36518767/,,"Asheville , NC, US","Asheville, NC, USA",35.5950581,-82.5514869
Ashland,Ashland County Courthouse Lawn,WI,US,6/30/2018,more than 60,60,,60,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20432/signup/?source=&s=,https://americasvoice.org/press_releases/6000-ohioans-protested-family-separations-raids-deportations/,,,"Ashland , WI, US","Ashland, WI 54806, USA",46.5924428,-90.8837982
Astoria,"Astoria, 16th and Marine Drive, river side",OR,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20241/signup/?source=&s=,http://www.dailyastorian.com/Local_News/20180702/standing-together-in-astoria-against-family-separations,,,"Astoria , OR, US","Astoria, OR 97103, USA",46.1878841,-123.8312534
Athens,UGA Arch,GA,US,6/30/2018,several hundred,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20693/signup/?source=&s=,http://www.onlineathens.com/photogallery/GA/20180630/NEWS/630009999/PH/1,,,"Athens , GA, US","Athens, GA, USA",33.9519347,-83.357567
Atlanta,Atlanta City Detention Center,GA,US,6/30/2018,several thousand,3000,,3000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19832/signup/?&source=&s=,https://www.ajc.com/news/breaking-news/thousands-atlanta-rally-against-immigration-policy/55do7EkTYXZIYC3z1WvZ4I/,,,"Atlanta , GA, US","Atlanta, GA, USA",33.7489954,-84.3879824
Auburn,Toomer's Corner,AL,US,6/30/2018,over 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20124/signup/?source=&s=,https://www.facebook.com/events/1543296945799562/permalink/1562627747199815/,,,"Auburn , AL, US","Auburn, AL, USA",32.6098566,-85.4807825
Auburn,Longley Bridge,ME,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.sunjournal.com/protesters-of-trumps-immigration-policies-organize-rallies-across-maine-nation/,,,,"Auburn , ME, US","Auburn, ME 04210, USA",44.0978509,-70.2311655
Augusta,Maine State House,ME,US,6/30/2018,nearly 1000,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/19858/signup/?source=&s=,https://www.centralmaine.com/2018/06/30/augusta-farmington-immigration-rallies-draw-hundreds/,,,"Augusta , ME, US","Augusta, ME 04330, USA",44.3106241,-69.7794897
Aurora,,CO,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://twitter.com/AuroraGunSense/status/1013089470353010689,,,,"Aurora , CO, US","Aurora, CO, USA",39.7294319,-104.8319195
Aurora,City Hall,IL,US,6/30/2018,FB: 91,91,,91,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/aurora-beacon-news/news/ct-abn-aurora-vigil-st-0702-story.html,https://www.facebook.com/events/447234425703884/,,,"Aurora , IL, US","Aurora, IL, USA",41.7605849,-88.3200715
Austin,Texas State Capitol,TX,US,6/30/2018,estimated 8000,8000,,10000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19862/signup/?source=&s=,https://www.statesman.com/news/local/happening-today-thousands-rally-texas-capitol-end-family-separations/XKE7dz34maWjmQ47uUP2rL/ ,https://patch.com/texas/downtownaustin/thousands-set-attend-texasfamilies-belong-together-rallies,,"Austin , TX, US","Austin, TX, USA",30.267153,-97.7430608
Avalon,Casino Building to Wrigley Stage,CA,US,6/30/2018,na,34,,34,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://twitter.com/lisakate111/status/1013176511078133760,,,,"Avalon , CA, US","Avalon, CA 90704, USA",33.3428193,-118.3282279
Bainbridge Island,Waypoint Park,WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20578/signup/?source=&s=,,,,"Bainbridge Island , WA, US","Bainbridge Island, WA, USA",47.6248791,-122.5210007
Bakersfield,ICE Office 800 Truxtun Ave,CA,US,6/30/2018,more than one thousand,1000,,1000,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20254/signup/?source=&s=,https://www.turnto23.com/news/local-news/more-than-one-thousand-people-take-part-in-local-families-belong-together-rally,,,"Bakersfield , CA, US","Bakersfield, CA, USA",35.3732921,-119.0187125
Baltimore,Patterson Park,MD,US,6/30/2018,nearly 1500,1500,,1500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20720/signup/?source=&s=,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-immigrant-rights-rally-20180629-story.html,,,"Baltimore , MD, US","Baltimore, MD, USA",39.2903848,-76.6121893
Bangor,Cascade Park,ME,US,6/30/2018,several hundred; FB: 142,142,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20118/signup/?source=&s=,http://www.wabi.tv/content/news/Hundreds-gather-in-Saturday-for-rally-against-current-immigration-policies-487034421.html,https://www.facebook.com/events/112892906242808/,,"Bangor , ME, US","Bangor, ME 04401, USA",44.8016128,-68.7712257
Bar Harbor,Bar Harbor Village Green,ME,US,6/30/2018,estimated 500,500,,500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20016/signup/?source=&s=,https://www.pressherald.com/2018/06/30/about-2000-people-protest-trump-immigration-policies-in-front-of-portland-city-hall/,http://mainebeacon.com/joining-national-wave-of-protest-2000-rally-against-family-separation-in-portland/,,"Bar Harbor , ME, US","Bar Harbor, ME, USA",44.3876119,-68.2039123
Barnstable,Barnstable Village,MA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20058/signup/?source=&s=,,,,"Barnstable , MA, US","Barnstable, MA, USA",41.7003208,-70.3002024
Barnstable,Unitarian Church of Barnstable,MA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,0,1,https://act.moveon.org/event/families-belong-together/20589/signup/?akid=undefined&zip=&source=,,,,"Barnstable , MA, US","Barnstable, MA, USA",41.7003208,-70.3002024
Barrington,In front of Rep. Peter Roskam's Barrington Office,IL,US,6/30/2018,estimated 600,600,,600,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20075/signup/?source=&s=,https://twitter.com/teresa337/status/1013104952858771457,http://www.chicagotribune.com/suburbs/highland-park/news/ct-hpn-immigration-detention-protest-north-suburbs-tl-0705-story.html,,"Barrington , IL, US","Barrington, IL 60010, USA",42.1539141,-88.1361888
Barstow,Fountain next to Union Bank,CA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20714/signup/?source=&s=,,,,"Barstow , CA, US","Barstow, CA, USA",34.8957957,-117.0172826
Bath,"In front of the Customs House, on Front Street ",ME,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20603/signup/?source=&s=,,,,"Bath , ME, US","Bath, ME 04530, USA",43.9106353,-69.8206023
Baton Rouge,US Border Patrol Office,LA,US,6/30/2018,over 175,175,,175,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20742/signup/?source=&s=,https://www.theadvocate.com/baton_rouge/multimedia/photos/collection_8fde6276-7c98-11e8-9beb-f3ffbd049627.html#4,https://www.facebook.com/PSNBatonRouge/posts/1045340548948967,,"Baton Rouge , LA, US","Baton Rouge, LA, USA",30.4514677,-91.1871466
Battle Creek,Calhoun County Justice Center,MI,US,6/30/2018,video,130,,132,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20306/signup/?source=&s=,https://www.youtube.com/watch?v=cXQ26stTad4,,,"Battle Creek , MI, US","Battle Creek, MI, USA",42.3211522,-85.1797142
Bay St Louis + Pass Christian,Bay Bridge,MS,US,6/30/2018,dozens,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20509/signup/?source=&s=,https://twitter.com/JerameyForMS/status/1013104179416567808,http://www.wlox.com/story/38550338/protesters-march-in-south-ms-to-speak-out-against-immigration-policy,,"Bay St Louis + Pass Christian , MS, US","Pass Christian, MS, USA",30.3157527,-89.2475429
Bayside,"Bell Blvd LIRR entrance, West Side of Street",NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20582/signup/?source=&s=,,,,"Bayside , NY, US","Bayside, Queens, NY, USA",40.7585569,-73.7654367
Beacon,Polhill Park,NY,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20433/signup/?source=&s=,,,,"Beacon , NY, US","Beacon, NY 12508, USA",41.5048158,-73.9695832
Beaver,Beaver County Court House,PA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20107/signup/?source=&s=,,,,"Beaver , PA, US","Beaver, PA, USA",40.6953437,-80.3047846
Bedminster,Clarence Dillon Public Library,NJ,US,6/30/2018,na,400,,400,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20376/signup/?source=&s=,https://eu.usatoday.com/story/news/nation-now/2018/06/30/families-belong-together-rallies-held-across-usa/747921002/,,,"Bedminster , NJ, US","Bedminster, NJ, USA",40.669264,-74.6804
Belchertown,Belchertown Common,MA,US,6/30/2018,na,250,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20407/signup/?source=&s=,http://www.gazettenet.com/Jody-Shapiro-Wonders-about-lack-of-coverage-18667273,,,"Belchertown , MA, US","Belchertown, MA 01007, USA",42.2770346,-72.4008884
Bellingham,Bellingham City Hall,WA,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20423/signup/?source=&s=,,,,"Bellingham , WA, US","Bellingham, WA, USA",48.7519112,-122.4786854
Bend,NW Greenwood Ave & NW Bond St (NE Corner) - Diagonal from Walden's office,OR,US,6/30/2018,hundreds,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20247/signup/?source=&s=,http://www.ktvz.com/news/hundreds-gather-in-bend-to-protest-immigration-policies/761494573,,,"Bend , OR, US","Bend, OR, USA",44.0581728,-121.3153096
Berkeley,"Old City Hall Steps, 2134 Martin Luther King Jr Way",CA,US,6/30/2018,around 1500,1500,,1500,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19916/signup/?source=&s=,http://www.berkeleyside.com/2018/06/30/around-1500-in-berkeley-declare-families-belong-together,,,"Berkeley , CA, US","Berkeley, CA, USA",37.8715926,-122.272747
Bethlehem,Payrow Plaza,PA,US,6/30/2018,about 300,300,,300,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20415/signup/?source=&s=,https://www.lehighvalleylive.com/news/index.ssf/2018/06/watch_lehigh_valley_rally_amon.html,,,"Bethlehem , PA, US","Bethlehem, PA, USA",40.6259316,-75.3704579
Big Rapids,Big Rapids Community Library,MI,US,6/30/2018,,,,,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,,,,,1,1,https://act.moveon.org/event/families-belong-together/20327/signup/?source=&s=,,,,"Big Rapids , MI, US","Big Rapids, MI 49307, USA",43.6980782,-85.4836557
Billings,Yellowstone County Courthouse,MT,US,6/30/2018,hundreds; about 450,200,,450,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20032/signup/?source=&s=,https://billingsgazette.com/news/local/crowd-of-hundreds-in-billings-rallies-to-reunite-separated-immigrant/article_853baff0-08d5-5c81-8d75-dca2ffd08fcf.html,http://www.kpax.com/story/38549287/billings-rally-protests-us-immigration-policy,,"Billings , MT, US","Billings, MT, USA",45.7832856,-108.5006904
Binghamton,Federal Building,NY,US,6/30/2018,nearly 200,200,,200,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20051/signup/?source=&s=,https://eu.pressconnects.com/story/news/local/2018/06/30/binghamton-immigration-protest-trump-families/748222002/,,,"Binghamton , NY, US","Binghamton, NY, USA",42.0986867,-75.9179738
Birmingham,Caldwell Park,AL,US,6/30/2018,hundreds; FB: 850,200,,850,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20069/signup/?source=&s=,https://www.facebook.com/events/474587226304743/,,,"Birmingham , AL, US","Birmingham, AL, USA",33.5185892,-86.8103567
Bisbee,Iron man statue/ Coshise County Court House,AZ,US,6/30/2018,`,31,,31,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20354/signup/?source=&s=,https://twitter.com/justamexican/status/1013150169188012034,,partial count from video,"Bisbee , AZ, US","Bisbee, AZ 85603, USA",31.4481547,-109.9284084
Bishop,Bishop Park,CA,US,6/30/2018,FB: 47,47,,47,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20142/signup/?source=&s=,https://www.facebook.com/events/1937670922951236/,,,"Bishop , CA, US","Bishop, CA 93514, USA",37.3614238,-118.3996636
Bloomington,Monroe County Courthouse,IN,US,6/30/2018,hundreds; more than 250,200,,250,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/20443/signup/?source=&s=,https://indianapublicmedia.org/news/hundreds-gather-courthouse-square-part-nationwide-immigration-protests-151025/,http://www.magbloom.com/2018/07/families-belong-together-rally-held-outside-courthouse-photo-gallery/,,"Bloomington , IN, US","Bloomington, IN, USA",39.165325,-86.5263857
