event,location,zipcode,x,y,flag,_Y,_X,_ID,dup
808RAN,Honolulu HI,96817,21.3295,-157.8615,,21.3295,-157.8615,2142,0
@WATCHYOURREPSNY,New York NY,10019,40.7651,-73.9858,,40.7651,-73.9858,940,0
A BETTTER WAY 2018,Lexington KY,40515,37.9651,-84.4708,,37.9651,-84.4708,2999,0
A FEW GOOD PEOPLE,Lynnwood WA,98037,47.8392,-122.2855,,47.8392,-122.2855,2461,0
A GATHERING OF DEMOCRATS,Natchitoches LA,71457,31.7617,-93.0916,,31.7617,-93.0916,2574,0
A-TEAM INDIVISIBLE WESTFIELD,Westfield IN,46074,40.0489,-86.1499,,40.0489,-86.1499,1791,0
A2D2,Ann Arbor MI,48103,42.2794,-83.78400000000001,,42.2794,-83.78400000000001,308,0
ABC UNITED,Phoenix AZ,85044,33.3291,-111.9943,,33.3291,-111.9943,1424,0
ABHAYA ACTION,Oakland CA,94605,37.7641,-122.1633,,37.7641,-122.1633,2716,0
ABQ NW INDIVISIBLE,Albuquerque NM,87120,35.1421,-106.7041,,35.1421,-106.7041,2290,0
ACA NASHVILLE,Nashville TN,37209,36.1546,-86.86020000000001,,36.1546,-86.86020000000001,2064,0
ACA PROTECTORS,Mill Valley CA,94941,37.8958,-122.5339,,37.8958,-122.5339,2163,0
ACADIA ACTION,Gouldsboro ME,04607,44.4731,-68.0899,,44.4731,-68.0899,684,0
"ACE - ACT, CONNECT AND ENGAGE",Naperville IL,60540,41.7662,-88.14100000000001,,41.7662,-88.14100000000001,3224,0
ACLU EAST SIDE (DALLAS),Dallas TX,75214,32.8248,-96.74979999999999,,32.8248,-96.74979999999999,2220,0
"ACLU PEOPLE POWER - PINELLAS COUNTY, FL",Safety Harbor FL,34695,28.0096,-82.69670000000001,,28.0096,-82.69670000000001,1896,0
ACT 2 KEEP AMERICA GREAT,Newton MA,02458,42.3528,-71.1875,,42.3528,-71.1875,3210,0
ACT AND RESIST,Hague NY,12836,43.7463,-73.5282,,43.7463,-73.5282,3040,0
ACT NOW NEW HAMPSHIRE,Dunbarton Town of NH,03046,43.1025,-71.6169,,43.1025,-71.6169,2892,0
ACT NY18,Wappingers Falls NY,12590,41.595,-73.88760000000001,,41.595,-73.88760000000001,2646,0
ACTING ON FACT,Denver CO,80220,39.7312,-104.9129,,39.7312,-104.9129,2045,0
ACTION 14TH DISTRICT ILLINOIS,Naperville IL,60565,41.7328,-88.12820000000001,,41.7328,-88.12820000000001,3224,0
ACTION 180 JERSEY CITY,Weehawken NJ,07086,40.7681,-74.02079999999999,,40.7681,-74.02079999999999,2277,0
ACTION ALLIANCE-EMBUDO VALLEY,Dixon NM,87527,36.179,-105.8615,,36.179,-105.8615,1103,0
ACTION AND EMPATHY,New York NY,10011,40.7402,-73.9996,,40.7402,-73.9996,940,0
ACTION FOR A BETTER TOMORROW - EVANSTON CHAPTER (9TH DISTRICT),Evanston IL,60201,42.0546,-87.6943,,42.0546,-87.6943,2103,0
"ACTION FOR A BETTER TOMORROW - SPRINGFIELD, IL CHAPTER (ABTSPI)",Springfield IL,62701,39.8,-89.6495,,39.8,-89.6495,3025,0
ACTION FOR A BETTER TOMORROW- DUPAGE COUNTY CHAPTER,Itasca IL,60143,41.972,-88.0202,,41.972,-88.0202,3224,0
ACTION GROUP OF NORTHEAST MICHIGAN,Alpena MI,49707,45.079,-83.4602,,45.079,-83.4602,764,0
ACTION HUMBOLDT INDIVISIBLE,Arcata CA,95521,40.8742,-124.0765,,40.8742,-124.0765,3099,0
ACTION INDIVISIBLE,Indianapolis IN,46256,39.8977,-86.0094,,39.8977,-86.0094,1793,0
ACTION IOWA,Coralville IA,52241,41.6937,-91.59059999999999,,41.6937,-91.59059999999999,1273,0
ACTION IOWA - DSM CHAPTER,Ankeny IA,50023,41.7194,-93.6266,,41.7194,-93.6266,365,0
ACTION IOWA COUNTY,Mineral Point WI,53565,42.8547,-90.16459999999999,,42.8547,-90.16459999999999,3150,0
ACTION OREGON TOGETHER: DOUGLAS COUNTY,Portland OR,97210,45.5303,-122.7033,,45.5303,-122.7033,2040,0
ACTION RIDGE,Park Ridge IL,60068,42.0122,-87.8417,,42.0122,-87.8417,2103,0
ACTION SLACKS,San Diego CA,92130,32.9555,-117.2252,,32.9555,-117.2252,2558,0
ACTION SOUTH TEXAS,Harlingen TX,78550,26.1951,-97.68899999999999,,26.1951,-97.68899999999999,2598,0
ACTION STEPS FOR AMERICA,Dekalb IL,60115,41.9008,-88.7548,,41.9008,-88.7548,213,0
ACTION TOGETHER - BURLINGTON COUNTY,Medford NJ,08055,39.8637,-74.8223,,39.8637,-74.8223,2100,0
ACTION TOGETHER - NE OHIO,Akron OH,44319,40.9791,-81.5347,,40.9791,-81.5347,368,0
ACTION TOGETHER - TIGARD,Portland OR,97224,45.4094,-122.8014,,45.4094,-122.8014,2836,0
ACTION TOGETHER CENTRAL OREGON,Bend OR,97703,44.0915,-121.4073,,44.0915,-121.4073,1549,0
ACTION TOGETHER CONNECTICUT,Vernon Rockville CT,06066,41.8501,-72.4649,,41.8501,-72.4649,2118,0
ACTION TOGETHER CONNECTICUT - LOWER FAIRFIELD COUNTY,Bridgeport CT,06606,41.2091,-73.2086,,41.2091,-73.2086,2005,0
ACTION TOGETHER CONNECTICUT HARTFORD COUNTY,Manchester CT,06042,41.7966,-72.5292,,41.7966,-72.5292,2720,0
"ACTION TOGETHER CT - BETHEL, DANBURY, REDDING",Danbury CT,06810,41.3917,-73.4532,,41.3917,-73.4532,2005,0
ACTION TOGETHER CT - MIDDLESEX COUNTY,Middletown CT,06457,41.5569,-72.6652,,41.5569,-72.6652,1124,0
ACTION TOGETHER CT - NORTHERN FAIRFIELD COUNTY,New Fairfield CT,06812,41.473,-73.4978,,41.473,-73.4978,2005,0
ACTION TOGETHER CT-NEW HAVEN COUNTY,New Haven CT,06511,41.3184,-72.9318,,41.3184,-72.9318,1704,0
"ACTION TOGETHER EASTERN MA - SOUTHCOAST, CAPE & ISLANDS",New Bedford MA,02740,41.6347,-70.9372,,41.6347,-70.9372,1183,0
ACTION TOGETHER FLORIDA,Naples FL,34119,26.2665,-81.7146,,26.2665,-81.7146,3008,0
ACTION TOGETHER GEORGIA (THIS IS A STATEWIDE GROUP),Atlanta GA,30312,33.7467,-84.3781,,33.7467,-84.3781,1402,0
ACTION TOGETHER GLOUCESTER COUNTY,Thorofare NJ,08086,39.8457,-75.1943,,39.8457,-75.1943,3138,0
ACTION TOGETHER LAKEWOOD AREA,Lakewood OH,44107,41.4847,-81.8018,,41.4847,-81.8018,2404,0
ACTION TOGETHER MASSACHUSETTS,Belmont MA,02478,42.3959,-71.17870000000001,,42.3959,-71.17870000000001,3210,0
ACTION TOGETHER METROWEST,Sudbury MA,01776,42.3837,-71.4282,,42.3837,-71.4282,3210,0
ACTION TOGETHER NETWORK,Milford NH,03055,42.8285,-71.6606,,42.8285,-71.6606,2687,0
ACTION TOGETHER NETWORK CT- NEW LONDON COUNTY,Mystic CT,06355,41.3616,-71.9774,,41.3616,-71.9774,1830,0
ACTION TOGETHER NETWORK TALLAHASSEE,Tallahassee FL,32303,30.4874,-84.3189,,30.4874,-84.3189,2673,0
ACTION TOGETHER NEVADA,Reno NV,89509,39.498,-119.8239,,39.498,-119.8239,1992,0
ACTION TOGETHER NEW YORK CAPITAL REGION,Troy NY,12182,42.7829,-73.6648,,42.7829,-73.6648,2413,0
ACTION TOGETHER NJ,New Brunswick NJ,08901,40.4891,-74.4482,,40.4891,-74.4482,1762,0
"ACTION TOGETHER NORTH SHORE, MA",Salem MA,01970,42.5151,-70.9003,,42.5151,-70.9003,1787,0
ACTION TOGETHER NORTHEASTERN PENNSYLVANIA,Wilkes Barre PA,18705,41.2689,-75.84529999999999,,41.2689,-75.84529999999999,1271,0
ACTION TOGETHER OHIO,Columbus OH,43085,40.0999,-83.0157,,40.0999,-83.0157,2442,0
ACTION TOGETHER OREGON,Corvallis OR,97333,44.5393,-123.2799,,44.5393,-123.2799,1345,0
ACTION TOGETHER OREGON - CLACKAMAS COUNTY SUBCHAPTER,Portland OR,97267,45.4021,-122.6144,,45.4021,-122.6144,1831,0
ACTION TOGETHER OREGON--TUALATIN/SW SUBURBS,Tualatin OR,97062,45.3727,-122.7631,,45.3727,-122.7631,2836,0
ACTION TOGETHER OREGON: CENTRAL COAST,Newport OR,97365,44.6487,-124.0509,,44.6487,-124.0509,2138,0
ACTION TOGETHER OREGON: SOUTHERN COAST SUB-CHAPTER,Coos Bay OR,97420,43.2151,-124.1984,,43.2151,-124.1984,1816,0
ACTION TOGETHER OREGON: YAMHILL VALLEY,McMinnville OR,97128,45.2097,-123.2043,,45.2097,-123.2043,1527,0
ACTION TOGETHER OXFORD (MS),Oxford MS,38655,34.3308,-89.48350000000001,,34.3308,-89.48350000000001,1433,0
ACTION TOGETHER PASCO HERNANDO,Holiday FL,34691,28.1913,-82.756,,28.1913,-82.756,611,0
ACTION TOGETHER ROCHESTER,Rochester NY,14607,43.1501,-77.589,,43.1501,-77.589,859,0
ACTION TOGETHER STARK,Canton OH,44709,40.8423,-81.3862,,40.8423,-81.3862,2018,0
ACTION TOGETHER SUNCOAST,Bradenton FL,34203,27.4547,-82.5359,,27.4547,-82.5359,2472,0
ACTION TOGETHER SUSSEX COUNTY,Hopatcong NJ,07843,40.939,-74.66160000000001,,40.939,-74.66160000000001,2386,0
ACTION TOGETHER TREASURE COAST,Ocoee FL,34990,27.1656,-80.2916,,27.1656,-80.2916,353,0
ACTION TOGETHER UPPER VALLEY,Lebanon NH,03766,43.6447,-72.2428,,43.6447,-72.2428,3204,0
ACTION TOGETHER WESTERN MASSACHUSETTS,Easthampton MA,01027,42.2668,-72.669,,42.2668,-72.669,2476,0
ACTION TOGETHER WESTERN NORFOLK COUNTY,Foxbourough MA,02035,42.0649,-71.2441,,42.0649,-71.2441,1244,0
ACTION TOGETHER-SOUTHEAST MICHIGAN,Grosse Pointe MI,48230,42.3847,-82.92440000000001,,42.3847,-82.92440000000001,1713,0
ACTION UTAH,Park City UT,84098,40.7029,-111.5481,,40.7029,-111.5481,61,0
ACTIONNOW,Hartford WI,53027,43.3157,-88.3707,,43.3157,-88.3707,2712,0
ACTIONS FOR AMERICA,Houston TX,77006,29.7409,-95.39230000000001,,29.7409,-95.39230000000001,2430,0
ACTIVATE,Oregon City OR,97045,45.3377,-122.57,,45.3377,-122.57,1831,0
ACTIVATE ATL,Atlanta GA,30310,33.7278,-84.42319999999999,,33.7278,-84.42319999999999,1402,0
ACTIVATE818,Valley Village CA,91607,34.1672,-118.3989,,34.1672,-118.3989,3006,0
ACTIVATELA,Los Angeles CA,90026,34.0766,-118.2646,,34.0766,-118.2646,3006,0
ACTIVATENJ,Teaneck NJ,07666,40.8915,-74.0119,,40.8915,-74.0119,1739,0
ACTIVE ADVOCATES - HUDSON VALLEY,Carmel NY,10512,41.4432,-73.6815,,41.4432,-73.6815,2003,0
ACTIVE COMMUNITY ENGAGEMENT,Jenkintown PA,19046,40.098,-75.1078,,40.098,-75.1078,3054,0
ACTIVISM ARTICULATED PR_EVENT CHAPTER,Sacramento CA,95820,38.5347,-121.4451,,38.5347,-121.4451,2009,0
ACTIVIST ALLIANCE,Acton MA,01720,42.4751,-71.4483,,42.4751,-71.4483,3210,0
ADA HAWAII,Honolulu HI,96803,21.306,-157.8585,,21.306,-157.8585,2142,0
ADAMS COUNTY WISCONSIN INDIVISIBLE,Adams WI,53910,43.8967,-89.8219,,43.8967,-89.8219,2737,0
ADAMS HILL ACTION,Glendale CA,91205,34.1378,-118.2425,,34.1378,-118.2425,3006,0
ADIRONDACK PROGRESSIVE ACTION GROUP,Brant Lake NY,12815,43.6989,-73.7205,,43.6989,-73.7205,3040,0
AFRICAN AMERICAN DEMOCRATIC CLUB OF HARFORD COUNTY MARYLAND,Bel Air MD,21014,39.5394,-76.35639999999999,,39.5394,-76.35639999999999,2929,0
AFTER THE MARCH - VERDE VALLEY,Sedona AZ,86336,34.8266,-111.7506,,34.8266,-111.7506,130,0
AFTON INDIVISIBLE,Afton MN,55001,44.8697,-92.82340000000001,,44.8697,-92.82340000000001,1227,0
AGE OF TRUMP ACTION GROUP,Berkeley CA,94708,37.8918,-122.2604,,37.8918,-122.2604,2716,0
AGRARIAN SOCIALIST PARTY OF OREGON,Portland OR,97219,45.458,-122.7074,,45.458,-122.7074,2040,0
AHEAD: ALLEN AND HARDIN FOR ELECTION ACTION & DEMOCRACY,Ada OH,45810,40.7709,-83.8154,,40.7709,-83.8154,2482,0
AIKEN LIKE THINKERS,Aiken SC,29803,33.5059,-81.6951,,33.5059,-81.6951,1344,0
AIR CAPITAL INDIVISIBLE,Goddard KS,67052,37.6597,-97.5753,,37.6597,-97.5753,1002,0
AIR ME NOW,Pompano Beach FL,33068,26.216,-80.2205,,26.216,-80.2205,2950,0
AL 3RD BLUE DOT ACTION COMMITTEE,Lincoln AL,35096,33.6059,-86.1112,,33.6059,-86.1112,3048,0
AL'S HUDDLE,Aptos CA,95003,36.9797,-121.8902,,36.9797,-121.8902,3098,0
ALABAMA INDIVISBLE,Montgomery AL,36117,32.3736,-86.1833,,32.3736,-86.1833,1037,0
ALABAMA PERSISTS,Birmingham AL,35213,33.5066,-86.7428,,33.5066,-86.7428,751,0
ALABAMA SIXTH DISTRICT INDIVISIBLE,Birmingham AL,35226,33.3967,-86.83459999999999,,33.3967,-86.83459999999999,751,0
ALABAMA'S 5TH - WEEKLY CALL TO ACTION,Huntsville AL,35801,34.7269,-86.5673,,34.7269,-86.5673,2556,0
ALAMANCE REISITANCE,Burlington NC,27215,36.0318,-79.4889,,36.0318,-79.4889,3068,0
ALAMEDA NASTY WOMEN,Alameda CA,94501,37.7706,-122.2648,,37.7706,-122.2648,2716,0
ALAMEDA4IMPEACHMENT,Alameda CA,94501,37.7706,-122.2648,,37.7706,-122.2648,2716,0
ALAMOGORDO INDIVISIBLE AGAISNT TRUMP,Alamogordo NM,88310,32.8932,-105.9485,,32.8932,-105.9485,1024,0
ALASKANS STRONGER TOGETHER,Anchorage AK,99508,61.206,-149.8101,,61.206,-149.8101,2493,0
ALBANY REGION INDIVISIBLE - OREGON,Albany OR,97321,44.652,-123.1333,,44.652,-123.1333,1345,0
ALBUQUERQUE INDIVISIBLE!,Albuquerque NM,87109,35.1506,-106.569,,35.1506,-106.569,2290,0
ALERT L.A. AFFINITY GROUP,Los Angeles CA,90046,34.1074,-118.3652,,34.1074,-118.3652,3006,0
ALICE B. TOKLAS LGBT DEMOCRATIC CLUB,San Francisco CA,94114,37.7587,-122.433,,37.7587,-122.433,2130,0
ALL HANDS ON DECK NYC!,New York NY,10024,40.7864,-73.9764,,40.7864,-73.9764,940,0
ALL OF US SARASOTA,Sarasota FL,34236,27.3269,-82.5433,,27.3269,-82.5433,2317,0
ALL RISE ALAMEDA,Alameda CA,94501,37.7706,-122.2648,,37.7706,-122.2648,2716,0
ALLEGIANCE INDIVISIBLE (DEL MAR HEIGHTS AREA),Del Mar CA,92014,32.9665,-117.249,,32.9665,-117.249,2558,0
ALLENSPARK ACTION,Allenspark CO,80510,40.2268,-105.5201,,40.2268,-105.5201,2049,0
ALLENTOWN-UPPER FREEHOLD INDIVISIBLE,Allentown NJ,08501,40.1589,-74.5909,,40.1589,-74.5909,2335,0
ALLIANCE AREA CITIZENS FOR PROGRESSIVE CHANGE,Alliance OH,44601,40.9158,-81.1182,,40.9158,-81.1182,2018,0
ALLIANCE4ACTION,Green Valley AZ,85622,31.8269,-111.0755,,31.8269,-111.0755,1006,0
ALLY NETWORK OF MN,Mankato MN,56002,44.1591,-94.00920000000001,,44.1591,-94.00920000000001,1304,0
ALT-LEFT,Normal IL,61761,40.5124,-88.9883,,40.5124,-88.9883,2835,0
ALTAMONT MAIN STREET USA,Altamont NY,12009,42.7063,-74.0193,,42.7063,-74.0193,1401,0
"AMENDMENT ONE ACTIVISTS | INDIAN RIVER COUNTY, FL",Vero Beach FL,32963,27.6898,-80.37569999999999,,27.6898,-80.37569999999999,2400,0
AMERICA 2.0,Bedford NH,03110,42.9403,-71.5213,,42.9403,-71.5213,2687,0
AMERICA'S WOMEN FOR AMERICAN RIGHTS AND EQUALITY,Sunland CA,91040,34.2618,-118.3371,,34.2618,-118.3371,3006,0
"AMERICAN MINUS PUTIN (""AMP"")",Dade City FL,33523,28.4247,-82.21850000000001,,28.4247,-82.21850000000001,611,0
AMERICAN RIVER DEMOCRATS,Folsom CA,95630,38.6709,-121.1529,,38.6709,-121.1529,2009,0
AMERICAN TRIBE,Los Angeles CA,90065,34.1073,-118.2266,,34.1073,-118.2266,3006,0
AMERICANS AGAINST TRUMP AGENDA,Long Beach CA,90803,33.7619,-118.1341,,33.7619,-118.1341,3006,0
AMERICANS FOR DEMOCRATIC ACTION SE PA,Philadelphia PA,19103,39.9513,-75.1741,,39.9513,-75.1741,2411,0
AMERICANS FOR THE ENVRIONMENT,Coffee Springs AL,36318,31.1388,-85.9182,,31.1388,-85.9182,2446,0
AMERICANS UNITED,Smyrna GA,30080,33.8796,-84.50230000000001,,33.8796,-84.50230000000001,2920,0
AN ACTION A DAY,San Francisco CA,94110,37.7509,-122.4153,,37.7509,-122.4153,2130,0
ANACONDA ACTION NETWORK,Anaconda MT,59711,46.1299,-112.9739,,46.1299,-112.9739,1329,0
ANALYTICAL-POLITICAL,Marshall WI,53559,43.1636,-89.0753,,43.1636,-89.0753,1884,0
ANCHOR ACTION GROUP,Eugene OR,97404,44.1005,-123.1334,,44.1005,-123.1334,1346,0
ANCRAM NY INDIVISIBLE,Ancramdale NY,12503,42.0381,-73.5819,,42.0381,-73.5819,2171,0
AND JUSTICE FOR ALL,Cypress TX,77433,29.8836,-95.7025,,29.8836,-95.7025,2430,0
ANGELIC TROUBLEMAKERS - MICHIGAN,Ann Arbor MI,48104,42.2694,-83.7282,,42.2694,-83.7282,308,0
ANGER TO ACTION,Seattle WA,98121,47.6151,-122.3447,,47.6151,-122.3447,482,0
ANN ARBOR ACTIVE VOTERS,Ann Arbor MI,48105,42.3042,-83.7068,,42.3042,-83.7068,308,0
ANN ARBOR INDIVISIBLE,Ann Arbor MI,48103,42.2794,-83.78400000000001,,42.2794,-83.78400000000001,308,0
ANNAPOLIS INDIVISIBLE,Annapolis MD,21401,38.9898,-76.5501,,38.9898,-76.5501,2839,0
ANNE ARUNDEL COUNTY DEMOCRATIC WOMEN,Annapolis MD,21401,38.9898,-76.5501,,38.9898,-76.5501,2839,0
ANNE ARUNDEL COUNTY INDIVISIBLE,Arnold MD,21012,39.0476,-76.4941,,39.0476,-76.4941,2839,0
ANNE ARUNDEL INDIVISIBLE,Arnold MD,21012,39.0476,-76.4941,,39.0476,-76.4941,2839,0
ANNE MCCABE,Lagrangeville NY,12540,41.6615,-73.745,,41.6615,-73.745,2646,0
ANTHRO-INDIVISIBLE,Milwaukee WI,53225,43.1154,-88.0346,,43.1154,-88.0346,2259,0
ANTI-TRUMP MOVEMENT/LADYDEMS OF COLORADO SPRINGS,Colorado Springs CO,80920,38.9497,-104.767,,38.9497,-104.767,2076,0
APACHE JUNCTION WOMEN ON WATCH ---- AJ-WOW,Apache Junction AZ,85119,33.4001,-111.5028,,33.4001,-111.5028,1232,0
APPALACHIAN AMERICANS UNITED,Charleston WV,25302,38.4015,-81.58410000000001,,38.4015,-81.58410000000001,1846,0
APPALACHIAN INDIVISIBLE,Jasper GA,30143,34.462,-84.4759,,34.462,-84.4759,1485,0
AR RIVER VALLEY INDIVISIBLE,Fort Smith AR,72903,35.3427,-94.3784,,35.3427,-94.3784,2401,0
ARANSAS RESISTORS,Rockport TX,78382,28.0308,-97.0688,,28.0308,-97.0688,783,0
ARC FOR JUSTICE,Stoneham MA,02180,42.4828,-71.09780000000001,,42.4828,-71.09780000000001,3210,0
ARDC-ABINGTON INDIVISIBLE,Abington PA,19001,40.1238,-75.1148,,40.1238,-75.1148,3054,0
ARISE LARCHMONT INDIVISIBLE @,Larchmont NY,10538,40.9351,-73.75709999999999,,40.9351,-73.75709999999999,1740,0
ARIZONA INDIVISIBLE CD 6,Scottsdale AZ,85260,33.6013,-111.8867,,33.6013,-111.8867,1424,0
ARKANSAS VALLEY INDIVISIBLE (COLORADO),Salida CO,81201,38.5259,-105.9978,,38.5259,-105.9978,3050,0
ARMY FOR TRUTH AND JUSTICE,Kiln MS,39556,30.4875,-89.4187,,30.4875,-89.4187,3088,0
ARROWHEAD INDIVISIBLE,Grand Marais MN,55604,47.7758,-90.3391,,47.7758,-90.3391,741,0
ART RESISTANCE,Beaverton OR,97008,45.456,-122.7996,,45.456,-122.7996,2836,0
ARTBRAWL,Albuquerque NM,87114,35.1868,-106.6652,,35.1868,-106.6652,2290,0
ARTEMIS SOCIETY,Westport CT,06880,41.1434,-73.3496,,41.1434,-73.3496,2005,0
ARVADANS FOR PROGRESSIVE ACTION,Arvada CO,80004,39.8141,-105.1177,,39.8141,-105.1177,1409,0
ARVADANS FOR TRUTH,Arvada CO,80004,39.8141,-105.1177,,39.8141,-105.1177,1409,0
ASBURY PARK DEMOCRATIC COMMITTEE,Asbury Park NJ,07712,40.2507,-74.04859999999999,,40.2507,-74.04859999999999,2335,0
ASHE INDIVISIBLE,Fleetwood NC,28626,36.2814,-81.514,,36.2814,-81.514,2262,0
ASHEVILLE RESISTORS,Asheville NC,28806,35.5808,-82.6078,,35.5808,-82.6078,2308,0
ASHFIELD INDIVISIBLE,Ashfield MA,01330,42.5232,-72.81100000000001,,42.5232,-72.81100000000001,760,0
ASHLAND INDIVISIBLE COMMUNITY,Ashland OR,97520,42.1885,-122.693,,42.1885,-122.693,3159,0
ATLI,Huntington Station NY,11746,40.8143,-73.3634,,40.8143,-73.3634,1413,0
"ATN BOULDER,WELD,ADAMS COUNTY & MORE.TWW COLORADO",Erie CO,80516,40.0597,-105.0686,,40.0597,-105.0686,2049,0
ATO PORTLAND (ACTION TOGETHER OREGON PORTLAND SUBCHAPTER),Portland OR,97266,45.4762,-122.5596,,45.4762,-122.5596,2040,0
ATO: BEAVERTON & WEST SUBURBS SUB-CHAPTER,Beaverton OR,97006,45.5201,-122.8604,,45.5201,-122.8604,2836,0
ATTHEREALRESISTANCE,Kennebunk ME,04043,43.3881,-70.5478,,43.3881,-70.5478,183,0
